Characteristic ,Total,Less than 9th Grade ,9th to 12th Grade nongrad,Graduate (including GED),Some college or degree ,Associate Degree,Total,Bachelor's Degree,Master's Degree,Profressional Degree,Doctorate Degree
....Total,"64,506","1,890","2,954","15,272","9,635","7,969","26,786","17,088","7,765",799,"1,134"
Without earnings,"15,939","1,024","1,468","5,162","2,490","1,699","4,095","2,898","1,011",82,104
With earnings,"48,567",866,"1,485","10,111","7,145","6,270","22,690","14,190","6,753",717,"1,030"
"..$1 to $2,499 or loss","1,153",34,58,294,202,152,414,305,87,20,3
"..$2,500 to $4,999",948,46,78,280,146,82,317,236,70,2,9
"..$5,000 to $7,499","1,051",57,79,287,182,103,343,230,100,4,9
"..$7,500 to $9,999",936,64,74,258,138,111,290,224,60,4,2
"..$10,000 to $12,499","1,692",57,100,503,284,241,508,391,93,14,10
"..$12,500 to $14,999",801,41,46,267,104,134,210,162,34,7,8
"..$15,000 to $17,499","1,588",79,117,486,340,200,367,294,59,6,8
"..$17,500 to $19,999","1,047",53,64,364,184,149,232,172,54,1,6
"..$20,000 to $22,499","2,408",98,162,849,427,296,578,410,137,15,16
"..$22,500 to $24,999","1,234",78,90,387,218,216,245,187,49,6,4
"..$25,000 to $27,499","2,270",72,152,703,392,354,597,460,91,24,22
"..$27,500 to $29,999","1,004",23,43,251,210,190,288,233,45,8,2
"..$30,000 to $32,499","2,671",43,71,796,549,492,721,556,148,12,4
"..$32,500 to $34,999",833,19,32,312,168,144,158,135,21,0,2
"..$35,000 to $37,499","2,398",23,45,684,526,365,755,551,185,7,12
"..$37,500 to $39,999",885,19,27,203,166,122,348,253,91,5,0
"..$40,000 to $42,499","2,572",15,69,597,451,410,"1,029",770,245,4,10
"..$42,500 to $44,999",628,0,12,115,93,75,333,220,99,0,14
"..$45,000 to $47,499","1,777",0,12,349,318,286,811,572,215,12,13
"..$47,500 to $49,999",873,2,16,154,155,122,424,272,123,12,17
"..$50,000 to $52,499","2,489",5,42,387,271,350,"1,433",936,434,22,41
"..$52,500 to $54,999",631,5,7,84,89,95,350,200,134,7,9
"..$55,000 to $57,499","1,432",10,17,179,223,153,850,507,292,18,33
"..$57,500 to $59,999",537,0,5,83,47,82,319,193,116,3,7
"..$60,000 to $62,499","2,059",6,12,276,224,228,"1,313",746,490,28,50
"..$62,500 to $64,999",398,4,4,43,49,54,244,146,94,0,4
"..$65,000 to $67,499","1,092",2,7,123,113,168,680,419,218,22,20
"..$67,500 to $69,999",424,1,0,55,50,52,267,158,91,8,11
"..$70,000 to $72,499","1,279",0,5,120,139,189,826,502,270,14,40
"..$72,500 to $74,999",226,3,1,15,48,18,140,76,54,0,10
"..$75,000 to $77,499",911,0,11,136,58,85,622,339,242,10,31
"..$77,500 to $79,999",217,0,2,7,11,15,181,87,71,9,14
"..$80,000 to $82,499",949,0,2,64,74,101,708,389,247,43,28
"..$82,500 to $84,999",203,0,0,8,20,9,166,111,48,4,3
"..$85,000 to $87,499",628,0,6,55,42,64,461,276,161,0,24
"..$87,500 to $89,999",183,0,0,3,26,26,127,65,56,2,4
"..$90,000 to $92,499",603,0,0,21,36,35,511,252,211,16,33
"..$92,500 to $94,999",154,0,0,10,18,16,110,47,53,5,5
"..$95,000 to $97,499",290,2,7,31,6,16,228,128,75,8,18
"..$97,500 to $99,999",141,0,0,24,5,6,107,56,47,0,4
"..$100,000 and over","4,952",5,13,248,342,267,"4,078","1,925","1,345",336,472
Median earnings (dollars),"41,325","20,062","21,972","30,400","35,138","36,870","56,744","51,237","62,024","90,960","91,173"
..Standard error (dollars),178,700,482,282,480,443,382,268,379,"8,868","3,985"
Mean earnings (dollars),"53,318","20,932","25,446","34,627","42,376","41,949","71,295","62,278","75,713","127,054","127,738"
..Standard error (dollars),543,812,"1,118",603,"1,008",623,"1,055","1,106","1,720","7,727","10,283"
Gini ratio,0.442,0.371,0.4,0.385,0.416,0.354,0.42,0.413,0.369,0.473,0.458
..Standard error,0.0048,0.0175,0.0226,0.0067,0.0125,0.0062,0.0068,0.0089,0.012,0.0233,0.0346
